s,A(s) (GHz),B(s) (GHz),C (normalized)
2.12212200E-01,2.13800600E+00,9.11188900E-01,3.40020300E-01
2.13213200E-01,2.12485400E+00,9.15528000E-01,3.40528400E-01
2.14214200E-01,2.11170300E+00,9.19877500E-01,3.41036400E-01
2.15215200E-01,2.09855200E+00,9.24237200E-01,3.41544500E-01
2.16216200E-01,2.08540100E+00,9.28607300E-01,3.42052500E-01
2.17217200E-01,2.07225000E+00,9.32987600E-01,3.42560600E-01
2.18218200E-01,2.05909900E+00,9.37378300E-01,3.43068600E-01
2.19219200E-01,2.04594800E+00,9.41779300E-01,3.43576700E-01
2.20220200E-01,2.03279700E+00,9.46190500E-01,3.44084700E-01
2.21221200E-01,2.01964500E+00,9.50612100E-01,3.44592800E-01
2.22222200E-01,2.00649400E+00,9.55044000E-01,3.45100800E-01
2.23223200E-01,1.99334300E+00,9.59486200E-01,3.45608900E-01
2.24224200E-01,1.98019200E+00,9.63938700E-01,3.46116900E-01
2.25225200E-01,1.96704100E+00,9.68401500E-01,3.46625000E-01
2.26226200E-01,1.95389000E+00,9.72874700E-01,3.47133000E-01
2.27227200E-01,1.94073900E+00,9.77358100E-01,3.47641100E-01
2.28228200E-01,1.92758800E+00,9.81851800E-01,3.48149100E-01
2.29229200E-01,1.91463300E+00,9.86355900E-01,3.48652200E-01
2.30230200E-01,1.90275000E+00,9.90870200E-01,3.49128100E-01
2.31231200E-01,1.89086700E+00,9.95394900E-01,3.49604000E-01
2.32232200E-01,1.87898400E+00,9.99929800E-01,3.50079900E-01
2.33233200E-01,1.86710100E+00,1.00447500E+00,3.50555800E-01
2.34234200E-01,1.85521800E+00,1.00903100E+00,3.51031700E-01
2.35235200E-01,1.84333500E+00,1.01359700E+00,3.51507600E-01
2.36236200E-01,1.83145200E+00,1.01817300E+00,3.51983500E-01
2.37237200E-01,1.81956900E+00,1.02275900E+00,3.52459400E-01
2.38238200E-01,1.80768600E+00,1.02735600E+00,3.52935300E-01
2.39239200E-01,1.79580300E+00,1.03196300E+00,3.53411200E-01
2.40240200E-01,1.78392000E+00,1.03658100E+00,3.53887100E-01
2.41241200E-01,1.77203700E+00,1.04120800E+00,3.54363000E-01
2.42242200E-01,1.76015400E+00,1.04584600E+00,3.54838900E-01
2.43243200E-01,1.74827100E+00,1.05049500E+00,3.55314800E-01
2.44244200E-01,1.73638800E+00,1.05515300E+00,3.55790700E-01
2.45245200E-01,1.72450500E+00,1.05982200E+00,3.56266600E-01
2.46246200E-01,1.71262200E+00,1.06450200E+00,3.56742500E-01
2.47247200E-01,1.70124300E+00,1.06919100E+00,3.57207000E-01
2.48248200E-01,1.69051800E+00,1.07389100E+00,3.57656800E-01
2.49249200E-01,1.67979300E+00,1.07860100E+00,3.58106600E-01
2.50250300E-01,1.66906800E+00,1.08332200E+00,3.58556400E-01
2.51251300E-01,1.65834300E+00,1.08805200E+00,3.59006100E-01
2.52252300E-01,1.64761900E+00,1.09279400E+00,3.59455900E-01
2.53253300E-01,1.63689400E+00,1.09754500E+00,3.59905700E-01
2.54254300E-01,1.62616900E+00,1.10230700E+00,3.60355400E-01
2.55255300E-01,1.61544400E+00,1.10707900E+00,3.60805200E-01
2.56256300E-01,1.60471900E+00,1.11186100E+00,3.61255000E-01
2.57257300E-01,1.59399400E+00,1.11665400E+00,3.61704800E-01
2.58258300E-01,1.58326900E+00,1.12145700E+00,3.62154500E-01
2.59259300E-01,1.57254400E+00,1.12627000E+00,3.62604300E-01
2.60260300E-01,1.56181900E+00,1.13109300E+00,3.63054100E-01
2.61261300E-01,1.55109500E+00,1.13592700E+00,3.63503900E-01
2.62262300E-01,1.54037000E+00,1.14077200E+00,3.63953600E-01
2.63263300E-01,1.52964500E+00,1.14562600E+00,3.64403400E-01
2.64264300E-01,1.51892000E+00,1.15049100E+00,3.64853200E-01
2.65265300E-01,1.50819500E+00,1.15536600E+00,3.65302900E-01
2.66266300E-01,1.49747000E+00,1.16025100E+00,3.65752700E-01
2.67267300E-01,1.48728200E+00,1.16514700E+00,3.66192500E-01
2.68268300E-01,1.47760700E+00,1.17005300E+00,3.66622700E-01
2.69269300E-01,1.46793200E+00,1.17496900E+00,3.67052900E-01
2.70270300E-01,1.45825800E+00,1.17989600E+00,3.67483100E-01
2.71271300E-01,1.44858300E+00,1.18483300E+00,3.67913300E-01
2.72272300E-01,1.43890800E+00,1.18978000E+00,3.68343400E-01
2.73273300E-01,1.42923300E+00,1.19473800E+00,3.68773600E-01
2.74274300E-01,1.41955800E+00,1.19970600E+00,3.69203800E-01
2.75275300E-01,1.40988300E+00,1.20468400E+00,3.69634000E-01
2.76276300E-01,1.40020900E+00,1.20967200E+00,3.70064200E-01
2.77277300E-01,1.39053400E+00,1.21467100E+00,3.70494400E-01
2.78278300E-01,1.38085900E+00,1.21968000E+00,3.70924600E-01
2.79279300E-01,1.37118400E+00,1.22469900E+00,3.71354800E-01
2.80280300E-01,1.36150900E+00,1.22972900E+00,3.71785000E-01
2.81281300E-01,1.35183400E+00,1.23476900E+00,3.72215200E-01
2.82282300E-01,1.34216000E+00,1.23982000E+00,3.72645400E-01
2.83283300E-01,1.33248500E+00,1.24488000E+00,3.73075600E-01
2.84284300E-01,1.32281000E+00,1.24995100E+00,3.73505800E-01
2.85285300E-01,1.31313500E+00,1.25503200E+00,3.73935900E-01
2.86286300E-01,1.30346000E+00,1.26012400E+00,3.74366100E-01
2.87287300E-01,1.29409300E+00,1.26522600E+00,3.74792100E-01
2.88288300E-01,1.28539800E+00,1.27033800E+00,3.75208800E-01
2.89289300E-01,1.27670400E+00,1.27546000E+00,3.75625400E-01
2.90290300E-01,1.26800900E+00,1.28059300E+00,3.76042100E-01
2.91291300E-01,1.25931500E+00,1.28573600E+00,3.76458700E-01
2.92292300E-01,1.25062000E+00,1.29089000E+00,3.76875400E-01
2.93293300E-01,1.24192500E+00,1.29605300E+00,3.77292100E-01
