s,A(s) (GHz),B(s) (GHz),c (normalized)
0.347,1.94970500,0.97557540,0.34734730
0.348,1.92381400,0.98444450,0.34834830
0.349,1.89792400,0.99335410,0.34934930
0.350,1.87203300,1.00230400,0.35035040
0.351,1.84653600,1.01155400,0.35135140
0.352,1.82155100,1.02118700,0.35235240
0.353,1.79656600,1.03086600,0.35335340
0.354,1.77158100,1.04059100,0.35435440
0.355,1.74707900,1.05060400,0.35535540
0.356,1.72323100,1.06099500,0.35635640
0.357,1.69938400,1.07143800,0.35735740
0.358,1.67553600,1.08193200,0.35835840
0.359,1.65168800,1.09247800,0.35935940
0.360,1.62784100,1.10307400,0.36036040
0.361,1.60399300,1.11372200,0.36136140
0.362,1.58014600,1.12442100,0.36236240
0.363,1.55629800,1.13517100,0.36336340
0.364,1.53245100,1.14597200,0.36436440
0.365,1.50860300,1.15682500,0.36536540
0.366,1.48475500,1.16772800,0.36636640
0.367,1.46090800,1.17868200,0.36736740
0.368,1.43726300,1.18976300,0.36836840
0.369,1.41467000,1.20128100,0.36936940
0.370,1.39216700,1.21289000,0.37037040
0.371,1.36966500,1.22455300,0.37137140
0.372,1.34724200,1.23629200,0.37237240
0.373,1.32606600,1.24838100,0.37337340
0.374,1.30519300,1.26060100,0.37437440
0.375,1.28432000,1.27288100,0.37537540
0.376,1.26344700,1.28522000,0.37637640
0.377,1.24257400,1.29761900,0.37737740
0.378,1.22170100,1.31007700,0.37837840
0.379,1.20082800,1.32259500,0.37937940
0.380,1.17995500,1.33517200,0.38038040
0.381,1.15908200,1.34781000,0.38138140
0.382,1.13820900,1.36050600,0.38238240
0.383,1.11733600,1.37326100,0.38338340
0.384,1.09646300,1.38607700,0.38438440
0.385,1.07559100,1.39895100,0.38538540
0.386,1.05593200,1.41206700,0.38638640
0.387,1.03672000,1.42530900,0.38738740
0.388,1.01750700,1.43861500,0.38838840
0.389,0.99829460,1.45198100,0.38938940
0.390,0.97960490,1.46543100,0.39039040
0.391,0.96212290,1.47899200,0.39139140
0.392,0.94464090,1.49261500,0.39239240
0.393,0.92715890,1.50630100,0.39339340
0.394,0.90967690,1.52004800,0.39439440
0.395,0.89219500,1.53386000,0.39539540
0.396,0.87471300,1.54773200,0.39639640
0.397,0.85723100,1.56166900,0.39739740
0.398,0.83974900,1.57566600,0.39839840
0.399,0.82226700,1.58972700,0.39939940
0.400,0.80478500,1.60384900,0.40040040
0.401,0.78730310,1.61803500,0.40140140
0.402,0.76982110,1.63228300,0.40240240
0.403,0.75311020,1.64656100,0.40340340
0.404,0.73766010,1.66084600,0.40440440
0.405,0.72221000,1.67519300,0.40540540
0.406,0.70675990,1.68960200,0.40640640
0.407,0.69131540,1.70407100,0.40740740
0.408,0.67743310,1.71837400,0.40840840
0.409,0.66410660,1.73265200,0.40940940
0.410,0.65078010,1.74699100,0.41041040
0.411,0.63745360,1.76138900,0.41141140
0.412,0.62412710,1.77584500,0.41241240
0.413,0.61080060,1.79036100,0.41341340
0.414,0.59747410,1.80493600,0.41441440
0.415,0.58414760,1.81957000,0.41541540
0.416,0.57082110,1.83426300,0.41641640
0.417,0.55749460,1.84901500,0.41741740
0.418,0.54416810,1.86382600,0.41841840
0.419,0.53084160,1.87869700,0.41941940
0.420,0.51773260,1.89357800,0.42042040
0.421,0.50612690,1.90818100,0.42142140
0.422,0.49468660,1.92280500,0.42242240
0.423,0.48324620,1.93748400,0.42342340
0.424,0.47180590,1.95221800,0.42442440
0.425,0.46066850,1.96691400,0.42542540
0.426,0.45082070,1.98126000,0.42642640
0.427,0.44098700,1.99565400,0.42742740
0.428,0.43115330,2.01009900,0.42842840
0.429,0.42131960,2.02459800,0.42942940
